property_url,title,reference_no,purpose,type,added_on,furnishing,currency,amount,location,bedrooms,bathrooms,size,agent_name,img_url,breadcrumbs,description
https://www.bayut.eg/en/property/details-199072713.html,"bella east بيلا ايست فيو البحر و علي حمام السباحه , بالتقسيط مع الخصم",Bayut - ID199072713,For Sale,Chalet,10 October 2023,Unfurnished,EGP,"1,100,000","Bella Romance, Ain Sukhna, Suez",2 Beds,2 Baths,95 Sq. M.,mohamed adel,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3595935-800x600.jpeg,Suez Chalets,تفاصيل الوحده :-
https://www.bayut.eg/en/property/details-199072635.html,bella east بيلا ايست بالاطلاله مباشره علي البحر بخصم كبيرلفتره محدوده,Bayut - ID199072635,For Sale,Chalet,10 October 2023,,EGP,"1,900,000","Bella Romance, Ain Sukhna, Suez",1 Bed,1 Bath,60 Sq. M.,mohamed adel,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3595846-800x600.jpeg,Suez Chalets,تفاصيل الوحده :-
https://www.bayut.eg/en/property/details-199072410.html,Bella east  بيلا ايست  شاليه للبيع دور ارضي بحديقه خاصه بتخفيض كبير,Bayut - ID199072410,For Sale,Duplex,10 October 2023,,EGP,"3,400,000","Bella Romance, Ain Sukhna, Suez",1 Bed,1 Bath,80 Sq. M.,mohamed adel,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3594161-800x600.jpeg,Suez Duplexes,تفاصيل الوحده :-
https://www.bayut.eg/en/property/details-199072179.html,بخصم يصل لـ 40%. . فيلا مستقلة فاخرة بحمام سباحة للبيع فى الشيخ زايد بـ,Bayut - ID199072179,For Sale,Villa,10 October 2023,,EGP,"7,875,000","River Park, Sheikh Zayed, Giza",5 Beds,4 Baths,302 Sq. M.,شركة الكيان,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3593335-800x600.jpeg,Giza Villas,بخصم يصل لـ 40%. . فيلا مستقلة فاخرة بحمام سباحة للبيع فى الشيخ زايد بـ River Park
https://www.bayut.eg/en/property/details-199071578.html,"شاليه60م مقدم97,000 دور تاني للبيع في راس سدر چازي باي خليج راس مطارمة",Bayut - ID199071578,For Sale,Chalet,10 October 2023,Unfurnished,EGP,"970,000","Ras Sedr, South Sinai",1 Bed,1 Bath,60 Sq. M.,Real Deal,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3591229-800x600.jpeg,South Sinai Chalets,"pay 97,000 DP and own your chalet in Ras Sudr 60m second floor + roof"
https://www.bayut.eg/en/property/details-199071304.html,Armonia ارمونيا العاصمه الجديده شقه للبيع دورارضي مع حديقه خاصه بالقسط,Bayut - ID199071304,For Sale,Apartment,10 October 2023,,EGP,"450,000","Armonia, New Capital City, Cairo",2 Beds,2 Baths,135 Sq. M.,mohamed adel,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3589258-800x600.jpeg,Cairo Apartments,تفاصيل الوحده :
https://www.bayut.eg/en/property/details-199069251.html,عيش حياة الرفاهيه فيلا للبيع بمدينتى بحمام سباحة تشطيبات خاصة فيو مميز,Bayut - ID199069251,For Sale,Villa,10 October 2023,Unfurnished,EGP,"35,000,000","Madinaty, Madinaty, Cairo",4 Beds,4 Baths,870 Sq. M.,Omar Saad,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3577270-800x600.jpeg,Cairo Villas,= لمحبي الهدوء والتميز
https://www.bayut.eg/en/property/details-199071165.html,بنتهاوس بحمام سباحة-الترا مودرن بالمطبخ-بحيرات,Bayut - ID199071165,For Sale,Penthouse,10 October 2023,Furnished,EGP,"15,500,000","Lake view Residence, New Cairo, Cairo",4 Beds,5 Baths,345 Sq. M.,Aser Hafez,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3589080-800x600.jpeg,Cairo Penthouses,بنتهاوس بحمام سباحة خاص - متشطب الترا مودرن بالمطبخ في كمبوند ليك فيو ريزيدنس - التجمع الخامس
https://www.bayut.eg/en/property/details-199070881.html,للبيع تاون هاوس ميدل بالتقسيط ف كمبوند ازار2 Azzar,Bayut - ID199070881,For Sale,Townhouse,10 October 2023,,EGP,"9,400,000","Azzar, New Cairo, Cairo",5 Beds,4 Baths,225 Sq. M.,PLP consultancy,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3587844-800x600.jpeg,Cairo Townhouses,تاون هاوس ميدل برايم لوكيشن ببرايفت جاردن وحمام سباحة خاص للبيع بتسهيلات في كمبوند ازار2 القاهرة الجديدة Azzar نصف تشطيب
https://www.bayut.eg/en/property/details-199070353.html,شقة لقطه للبيع 160م استلام فوري روك ايدن Rock Eden اكتوبر فيو مميز جدا,Bayut - ID199070353,For Sale,Apartment,10 October 2023,Unfurnished,EGP,"2,480,000","Rock Eden, Hadayek October, Giza",3 Beds,2 Baths,160 Sq. M.,Nour Hady,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3583506-800x600.jpeg,Giza Apartments,استلم وحدتك في اكتوبر كمبوند روك ايدن Rock Eden فوري وقسط براحتك
